DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-10-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Singapore,Miscellaneous edible preparations,21069092,/,Ambient,-,/,-,-,/,No,Human Consumption,2020-10-26,2020,Q4,10,26,Not satisfactory,Not satisfactory,2136,Satisfactory,No,-,-,-,-,1. Re-Export,1. Absence/Invalid Certificate,2020-11-06,2020,Q4,11,6,1692
2020-10-23,London Gateway,United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048910,Cyprinidae,Frozen,-,/,-,-,/,No,Human Consumption,2020-10-23,2020,Q4,10,23,Satisfactory,Satisfactory,1175,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-10-30,2020,Q4,10,30,1117
2020-09-09,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,China,Poultry meat and poultry meat products,160232,Aves,Ambient,-,/,-,-,/,No,Human Consumption,2020-10-10,2020,Q4,10,10,Not satisfactory,Not satisfactory,1487,Not Done,No,-,-,-,-,2. Destruction,5. Id: Mis-Match With Documents,2020-11-06,2020,Q4,11,6,1410
2020-09-09,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,China,Poultry meat and poultry meat products,160232,Aves,Ambient,-,/,-,-,/,No,Human Consumption,2020-10-10,2020,Q4,10,10,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-11-06,2020,Q4,11,6,0
2020-10-20,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-10-18,2020,Q4,10,18,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-10-20,2020,Q4,10,20,0
2020-10-20,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-10-18,2020,Q4,10,18,Satisfactory,Satisfactory,1337,Not Done,No,-,-,-,Human Consumption,-,-,2020-10-20,2020,Q4,10,20,1186
2020-10-29,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Thailand,Miscellaneous edible preparations,21039090,Stolephorus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-10-15,2020,Q4,10,15,-,-,2022,-,-,-,-,-,-,-,-,,2020,Q4,,,1840
2020-11-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3035990,Rastrelliger Kanagurta,Frozen,-,/,-,-,/,No,Human Consumption,2020-10-23,2020,Q4,10,23,Satisfactory,Satisfactory,22000,Not Done,No,-,-,-,Human Consumption,-,-,2020-11-05,2020,Q4,11,5,20000
2020-11-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990,Parupeneus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-10-23,2020,Q4,10,23,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-11-05,2020,Q4,11,5,0
2020-10-29,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3035330,Sardinella Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-10-29,2020,Q4,10,29,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-11-02,2020,Q4,11,2,0
