DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2019-07-01,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,16041100,Onchorhynchus Gorbusha,Ambient,-,/,-,-,/,No,Human Consumption,2019-06-24,2019,Q2,6,24,Satisfactory,Satisfactory,17120,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-07-02,2019,Q3,July,2,13270
2019-07-02,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,16041100,Onchorhynchus Gorbusha,Ambient,-,/,-,-,/,No,Human Consumption,2019-06-24,2019,Q2,6,24,Satisfactory,Satisfactory,18811,Not Done,No,-,-,-,Human Consumption,-,-,2019-07-03,2019,Q3,July,3,14620
2019-06-08,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-06-07,2019,Q2,6,7,Satisfactory,Satisfactory,49,Not Done,No,-,-,-,Human Consumption,-,-,2019-06-10,2019,Q2,June,10,39
2019-06-07,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-06-10,2019,Q2,6,10,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-06-10,2019,Q2,June,10,0
2019-06-07,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Products of animal origin,4100000,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-06-10,2019,Q2,6,10,Satisfactory,Satisfactory,80,Not Done,No,-,-,-,Human Consumption,-,-,2019-06-10,2019,Q2,June,10,67
2019-06-18,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3038990,Mugil Spp,Frozen,-,/,-,-,/,No,Human Consumption,2019-06-19,2019,Q2,6,19,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-06-23,2019,Q2,June,23,0
2019-06-18,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048990,Coregonus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2019-06-19,2019,Q2,6,19,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-06-23,2019,Q2,June,23,0
2019-06-18,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,16041991,Merluccius Capensis,Frozen,-,/,-,-,/,No,Human Consumption,2019-06-19,2019,Q2,6,19,Satisfactory,Satisfactory,2600,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-06-23,2019,Q2,June,23,2458
2019-06-12,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-06-13,2019,Q2,6,13,Satisfactory,Satisfactory,5531,Not Done,No,-,-,-,Human Consumption,-,-,2019-06-13,2019,Q2,June,13,5220
2019-06-12,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-06-13,2019,Q2,6,13,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-06-13,2019,Q2,June,13,0
